ID,Text,NextID
1,"In 753 years before the Birth of Domini, A pair of twins, Romulus and Remus, raised by a she-wolf, arrived on the continent created by the Earth Goddess, Terra.",2
2,"Romulus, the older brother, killed Remus and founded the city of the Seven Hills, marking the beginning of the Kingdom of Romulus.",3
3,"In 44 BD, After undergoing the periods of monarchy and republic, the Kingdom of Romulus reached its peak under the rule of the lifelong dictator, Julius Caesar.",4
4,"Following Caesar's assassination, his adopted son, Gaius Octavius, founded the Roman Empire and became its first emperor.",5
5,"In the year of the Birth of Domini, The Virgin Mary was blessed by the angel Immanuel, and gave birth to Domini. Domini, Electi, founded the Sacra Religio, carrying divine revelations.",6
6,"In 33 years after the Birth of Domini, Domini was crucified due to the persecution of the Romulus Empire, bearing the sins of the world.",7
7,"40 days later, he resurrected and ascended to heaven.",8
8,"In 395 AD, The Romulus Empire was divided into Eastern and Western parts.",9
9,"In 380 AD, The Edict of Thessalonica was issued, making the Sacra Religio the state religion of the Romulus Empire.",10
10,"In 476 AD, The Western Romulus Empire fell, and the Kingdom of the Francs inherited the imperial legal tradition.",11
11,"In 525 AD, The Sacra Church decided to adopt the ""Sacra Calendar,"" establishing the Year of the birth of Domini as Year Zero.",12
12,"This marked the beginning of the year 525 in the Sacred Calendar.",13
13,"In Sacred 800 years, The Kingdom of the Francs was granted the title of the Romulus Empire by the Sacra Church.",14
14,"In Sacred 9th Century, The Kingdom of the Francs was divided into three parts. The West Francs Kingdom became the predecessor of the Kingdom of Francus.",15
15,"In Sacred 10th Century, The East Francs Kingdom absorbed the Middle Francs Kingdom and was granted the title of the Romulus Empire by the Pope.",16
16,"The emperor was elected, and the system of electing the emperor was gradually established.",17
17,"In Sacred 11th Century, The Great Schism of the Sacra Religio occurred.",18
18,"This Led to a division between the West Ecclesia Catholica, led by the Seven Hills city, and the East Ecclesia Orthodoxa, led by the city of Constantinople.",19
19,"In Sacred 12th Century, The East Francs Kingdom changed its name to the Holy Romulus Empire.",20
20,"In Sacred 13th Century, After the death of the emperor, the Holy Romulus Empire entered a prolonged period of vacancy, lasting over a century.",21
21,"Regional lords ruled independently, and the empire entered a state of fragmentation.",22
22,"Autumn of Sacred 1368 years-",23
23,"In the southern territories of the Holy Romulus Empire, in Burgundy, a young new lord",24
24,"— you —",25
25,"are now facing an invasion from the southern Carthaginian Kingdom.",27
27,"This event is known as the Fourth Punic War in history.",-1
