Key,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),English(en),Japanese(ja)
Spring,春,春,SPRING,春
Summer,夏,夏,SUMMER,夏
Fall,秋,秋,AUTUMN,秋
Winter,冬,冬,WINTER,冬
TASKS,任务,任務,TASKS,任務
EVENTS,事件,事件,EVENTS,事件
REPORTS,报告,報告,REPORTS,報告
REREAD,重新阅读,"重新閱讀	",REREAD,読み返す
CHECK,确认跳过,確認跳過,CHECK,スキップ確認
Next Season,下个季节,下個季節,Next Season,次の季節
Replenish,补充兵力,補充兵力,Replenish,兵力補充
Battle,战斗,戰鬥,Battle,戦闘
Explore,探索,探索,Explore,探索
Cancel,取消,取消,Cancel,取消
Scount,侦察,偵察,Scout,偵察
You are stepping into not the same river again…,你再次踏入的，不再是同一条河流……,你再次踏入的，不再是同一條河流……,You are stepping into not the same river again…,あなたが再び踏み入れたのは、もはや同じ川ではない……
Get,招募,招募,Get,募集
RemoveLord,移除领主,移除領主,Remove Lord,領主を外す
